year,ASMR,urbanization,dazhuanper,avgeduyrs,60_laborincome_per,60_pension_per,60_SRH_good,avgrent_fee,avgmonthNDVI,PM2.5,O3,secindust_per,terindust_per,GDP,logincomeperper,perGDP,doctor1k,numbed1k
2020,4.755251387,56.56122901,20.28299901,9.819762738,8.165510239,48.48536131,41.09832459,659.232746,0.238161629,30.52870619,107.2415436,34.25,45.53,4970000,10.40737919,32700,2.629438335,5.393787489
2020,5.143824523,38.39329471,17.74067057,9.135775811,12.27365834,28.2097501,51.29045473,651.519866,0.405879344,25.4285864,100.0862117,15.88,64.07,4410000,10.16857886,17430,2.3564863,5.955000937
2020,5.542344396,42.27112147,25.94422692,9.18314379,8.254545455,22.4,52.29090909,781.572327,0.506861894,18.01067447,95.37834691,13.30740454,66.58358497,3312763,10.22759798,15747,2.750763218,3.886916601
2020,4.681755734,94.43298376,28.78915657,10.83306133,3.761379971,74.91614758,56.3727839,881.7502668,0.112029661,30.99361511,106.6388842,63.64,34.45,2820000,10.70938289,91000,3.770833133,7.423327992
2020,5.5469855,77.39517746,23.03789553,10.04350337,3.890577508,63.26241135,35.74468085,510.1501305,0.185302932,27.85889964,108.162091,63.42,28.47,3580000,10.66106387,81643,4.330793149,6.974471835
2020,4.901278274,64.19874473,23.7217263,10.16813681,11.0572153,46.51085878,38.91522434,631.3357401,0.081239602,30.7109692,104.98728,41.22,41.55,6580000,10.55148045,62187,3.582436777,5.897475244
2020,3.518095301,83.09656777,32.90538433,11.07653624,3.639740019,74.83936862,53.00092851,972.9649564,0.274911804,30.76939422,108.2656235,32.33,65.68,28870000,10.60042753,66680,3.413965903,6.52651736
2020,4.943840898,36.75179524,14.30154081,8.101321006,7.658619953,25.87054048,43.01431318,876.4217413,0.385298082,28.65032709,104.7462844,18.50074998,65.29054448,1013567,10.05783821,71828,1.705415334,4.153098708
2020,6.592962428,36.17696712,16.18251925,8.701840567,8.348190876,25.61090718,40.08390142,708.6289914,0.618697544,21.17724488,93.48535137,22.79,58.98,4520000,10.19582129,18710,1.84108817,4.154910621
2020,5.581606078,44.77171189,19.27716084,9.403716499,9.541198502,38.14606742,37.37827715,672.9360234,0.492418926,27.89340945,100.658495,24.51,52.42,4760000,10.34483447,25623,3.029308014,5.917428637
2020,4.20525811,41.88963149,16.4626126,9.257593026,13.61144945,25.94397077,35.47503045,725.4326561,0.426271726,29.73173556,104.499529,47.22,39.85,7550000,10.42274552,34593,2.61318447,4.495081011
2020,4.243003703,45.5725763,17.45636259,9.286650774,8.515788316,40.49400374,41.59973594,768.4515841,0.524323994,23.67408376,96.91847462,24.27,56.84,6670000,10.26493111,22251,2.206617238,5.318195479
2020,7.502944922,47.01147817,20.94215598,9.823279171,9.81402644,46.03405781,42.75151244,947.2972973,0.199213258,29.39267564,108.5098515,16.17,53.11,5260000,10.36027929,35571,3.370752003,6.208381827
2020,5.850983684,51.2916705,21.59116178,9.823053282,8.580343214,46.00884035,36.14144566,747.4243229,0.212170044,23.97006891,105.1800557,18.63,53.84,4670000,10.27422318,41177,3.371305092,7.263380889
2020,5.032601981,64.1898203,9.890133886,8.618322697,13.29490117,29.39702091,64.04683472,535.3770492,0.642557515,21.76379105,99.93118384,47.31,42.94,10970000,10.18263329,42605,1.88678731,2.426425613
2020,2.932283165,92.14881588,13.5150071,9.801526103,15.5848329,47.16018638,77.42006748,596.6696724,0.384772655,22.6440601,100.7440015,53.81,45.88,96500000,10.96909444,92176,2.083957341,3.143324615
2020,3.432151046,95.19569869,16.47045085,9.777367135,9.143116559,59.81500397,72.43445693,604.7181641,0.406623007,23.10026645,100.2676564,56.35,42.13,108160000,10.95858325,114157,2.307539334,3.774346467
2020,4.004597912,86.18656335,29.79142216,11.06602906,5.206946704,76.59801311,68.39841246,1060.216643,0.545085674,22.77459451,101.7673712,26.34,72.51,250190000,11.13172361,135047,3.339418486,4.983079098
2020,4.830967215,48.49613382,12.71341871,9.21497282,6.278280543,26.45173454,53.36224233,722.6469643,0.717549004,21.02952205,97.20556169,34,53.58,11030000,10.24060958,38802,2.422043877,4.011014608
2020,2.747738003,72.80131964,14.7446989,9.487617512,9.86968971,34.49132239,66.8848244,676.7060505,0.678259292,20.96426512,97.9449154,50.56,44.25,42210000,10.72490701,70191,2.48309904,2.885723496
2020,4.545307566,67.62970265,15.45100763,9.768622661,8.862864978,51.91845175,69.78578975,543.2305824,0.599218103,20.71149645,93.00908099,41.64,49.77,32010000,10.59470788,66984,2.445139628,3.834650871
2020,4.504744018,50.65133043,6.50479942,8.330998458,14.74216718,17.95642733,52.86944902,599.3551854,0.629672288,21.3331795,99.04511715,36.87,53.43,21020000,10.20604839,37495,1.928533293,2.947929063
2020,4.369773264,43.56265336,12.69692666,9.177400246,14.10694613,32.3437191,58.98420949,653.4675307,0.677141577,21.4198039,87.92599641,31.47,48.73,32790000,10.33309227,53311,2.241316478,3.680890177
2020,5.192993562,51.57944036,12.54823443,9.319565331,5.641885357,32.41988523,63.04081501,873.2861806,0.720224157,21.12741198,94.76476058,30.38,49.34,12080000,10.30701746,31011,2.615382113,3.564974947
2020,4.884111415,54.49612581,12.78863947,8.886669362,8.281395515,32.30174081,64.24528978,676.9102564,0.683541525,22.97708828,93.30116757,32.98,50.25,17770000,10.40906945,44828,2.281915005,3.182034492
2020,5.004884248,70.70423631,10.21122733,8.740432879,9.777212195,33.08838026,57.03403653,653.5438854,0.422011291,20.50277223,101.5380495,47.75,47.75,27310000,10.40189641,49661,2.097043801,3.165376567
2020,4.358243796,57.0134476,7.131863578,8.037774331,9.427389506,15.46374918,55.44306553,789.754677,0.622855649,19.49623366,98.20744707,36.3,49.47,11240000,10.30427507,41950,1.744031913,3.072139967
2020,5.366696999,57.33169511,16.92356565,9.561335121,5.193744164,55.26766262,63.03688142,514.1028737,0.713252274,22.14088674,94.32710016,34.37,51,13530000,10.44633496,47441,2.809678435,5.030942538
2020,4.242647801,54.1622054,13.14983473,9.158645673,13.73134328,29.51779564,64.2250287,629.7950957,0.69612115,20.18637415,87.51496436,35.66,45,13600000,10.38316301,52357,2.298537933,4.828351119
2020,6.02258295,43.77405752,11.44246704,8.995911869,9.400514895,26.35527768,55.74108128,707.3854534,0.711375314,21.78011527,87.80341145,31.14,49.6,10020000,10.25167659,42047,2.17257222,3.033964797
2020,3.494341776,45.45705087,15.09278189,9.344007498,12.59410862,44.03674195,61.13831835,695.6356065,0.588974823,21.04766907,89.92984196,33.94,46,31000000,10.40200575,44408,2.034596739,4.469838865
2020,5.160877211,51.01655633,14.71790429,9.505437553,9.497185013,43.0712483,62.8266356,686.1929521,0.698319789,23.29303153,91.21055187,39.03,42.06,23110000,10.4559924,56318,2.157237686,3.454157119
2020,4.637005124,86.95837087,14.03953228,9.540854093,9.16271722,66.37131671,71.89710832,556.3405427,0.371727147,20.31588275,95.57254572,49.4,48.32,31520000,10.91029518,71478,2.231522433,3.598638316
2020,4.429305892,90.46989549,27.82138472,10.7849166,7.525057826,68.7535338,68.39372912,967.2274282,0.351129133,19.9278321,90.60880322,43.39,54.88,34820000,10.97635459,145645,3.282115606,4.126931425
2020,3.904215955,43.43897041,15.78445623,9.178923922,16.26685828,30.6544329,56.54432899,611.2068966,0.70423946,23.04718439,84.88000707,39.81,40.7,13340000,10.43305642,37332,2.183393275,3.984314736
2020,4.070530675,52.84322967,16.6858129,9.720774425,12.85186894,55.19920012,66.41285956,895.88168,0.579189971,24.14671631,84.77741258,38.06,45.73,12770000,10.54418287,80710,2.397439709,3.780972326
2020,3.700290119,43.93946068,20.54011942,9.832527197,22.38630807,32.16625917,60.98777506,687.6116393,0.672438895,24.00626547,82.70936253,28.8,48.95,8090000,10.45051009,38732,1.937097475,2.899900991
2020,2.878673136,61.52898282,14.21255836,9.198371741,14.04755001,41.37431139,63.16323572,817.2029061,0.70504121,22.9356938,80.53971492,47.48,37.38,7330000,10.52366073,70697,2.160471403,3.102092789
2020,4.27458187,49.99983782,9.374067477,8.7662534,19.23090212,20.98953115,54.85955153,793.2706881,0.643325448,26.09076856,86.54108914,36.36,46.86,13530000,10.43417463,31363,1.979722269,3.729847725
2020,3.614751156,52.58247743,20.46296175,9.94837007,11.28456735,56.5269105,56.61363862,540.8113419,0.650364743,24.21603044,81.35920106,22.82,54.41,21300000,10.54914997,42424,2.916163149,3.989546427
2020,3.752506534,44.88073974,13.95020466,8.943709154,12.17188608,30.77936556,51.30738826,584.314325,0.660659853,23.0943503,78.89087549,28.45,50.11,9280000,10.33789639,27119,2.309574905,5.409683304
